,album_title,artist,release_date,score
369,The Two Worlds,Brigid Mae Power,"February 9, 2018",74
370,Introduce Yerself,Gord Downie,"October 27, 2017",74
371,Best Troubador,Bonnie 'Prince' Billy,"May 5, 2017",74
372,Book of Changes,Entrance,"February 24, 2017",74
373,One Day All of This Won’t Matter Any More,Slow Club,"August 19, 2016",74
374,Short Movie,Laura Marling,"March 23, 2015",74
375,After,Lady Lamb the Beekeeper,"March 3, 2015",74
376,Seasonal Hire,Steve Gunn & The Black Twig Pickers,"February 24, 2015",74
377,Some Heavy Ocean,Emma Ruth Rundle,"May 20, 2014",74
378,Native State,Jess Williamson,"January 28, 2014",74
379,Rooms with Walls and Windows,Julie Byrne,"January 21, 2014",74
380,Warp and Weft,Laura Veirs,"August 19, 2013",74
381,Who Needs Who,Dark Dark Dark,"October 2, 2012",74
382,La Grande,Laura Gibson,"January 24, 2012",74
383,Tamer Animals,Other Lives,"May 10, 2011",74
384,Death Seat,Wooden Wand,"October 26, 2010",74
385,Singing Ax,J. Tillman,"September 14, 2010",74
386,True Love Cast Out All Evil,Roky Erickson with Okkervil River,"April 20, 2010",74
387,The Wonder Show of the World,Bonnie 'Prince' Billy,"March 23, 2010",74
388,Sunset/Sunrise,The Dutchess and the Duke,"October 6, 2009",74
389,The Ruminant Band,Fruit Bats,"August 4, 2009",74
390,Safe Inside the Day,Baby Dee,"January 22, 2008",74
391,Gyllyng Street,Songs of Green Pheasant,"August 20, 2007",74
392,Sharp Teeth,David Karsten Daniels,"January 22, 2007",74
393,And Now That I'm in Your Shadow,Damien Jurado,"October 10, 2006",74
394,Micah P. Hinson and the Opera Circuit,Micah P Hinson,"October 10, 2006",74
395,Fading Trails,Magnolia Electric Co.,"September 12, 2006",74
396,PREfection,Cass McCombs,"January 11, 2005",74
397,Hecla & Griper,Songs: Ohia,"December 1, 1997",74
398,I Need to Start a Garden,Haley Heynderickx,"March 2, 2018",73
399,Moonshine Freeze,This Is The Kit,"July 7, 2017",73
400,Memories Are Now,Jesca Hoop,"February 10, 2017",73
401,Mowing,Michael Nau,"February 19, 2016",73
402,Night Fiction,Cian Nugent,"January 29, 2016",73
403,It Was Triumph We Once Proposed...Songs Of Jason Molina,Glen Hansard,"March 17, 2015",73
404,Alasdair Roberts,Alasdair Roberts,"January 26, 2015",73
405,Stay Gold,First Aid Kit,"June 10, 2014",73
406,Lost Colony,William Tyler,"April 29, 2014",73
407,Range of Light,S. Carey,"April 1, 2014",73
408,Mug Museum,Cate Le Bon,"November 12, 2013",73
409,Wed 21,Juana Molina,"October 29, 2013",73
410,Stitches,Califone,"September 3, 2013",73
411,About Farewell,Alela Diane,"June 25, 2013",73
412,Hands of Glory,Andrew Bird,"October 30, 2012",73
413,Fear Fun,Father John Misty,"May 1, 2012",73
414,Gentle Stream,The Amazing,"October 5, 2011",73
415,The World Is Just a Shape to Fill the Night,Case Studies,"August 15, 2011",73
416,Two Matchsticks,The Wooden Birds,"June 7, 2011",73
417,The Threshingfloor,Wovenhand,"June 22, 2010",73
418,Around The Well,Iron & Wine,"May 19, 2009",73
419,The Last Laugh,Joker's Daughter,"April 7, 2009",73
420,Winter Hours,The Deep Dark Woods,"February 17, 2009",73
421,Major General,Franz Nicolay,"January 13, 2009",73
422,The Finally LP,Mark Kozelek,"December 9, 2008",73
423,Caught in the Trees,Damien Jurado,"September 9, 2008",73
424,Conor Oberst,Conor Oberst,"August 5, 2008",73
425,The Throne of the Third Heaven of the Nations' Millennium General Assembly,Le Loup,"September 11, 2007",73
426,To Find Me Gone,Vetiver,"May 19, 2006",73
427,Songs of Green Pheasant,Songs of Green Pheasant,"August 9, 2005",73
428,On My Way to Absence,Damien Jurado,"April 5, 2005",73
429,Sweet Heart Fever,Scout Niblett,"October 16, 2001",73
430,5 Songs,The Decemberists,"June 1, 2001",73
431,The Notorious Byrd Brothers,The Byrds,"January 15, 1968",73
432,"The Greatest Gift Mixtape – Outtakes, Remixes & Demos from Carrie & Lowell",Sufjan Stevens,"November 24, 2017",72
433,Are You Serious,Andrew Bird,"April 1, 2016",72
434,Eric Bachmann,Eric Bachmann,"March 25, 2016",72
435,Fleeting,Glenn Jones,"March 18, 2016",72
436,Janus,Matt Kivel,"February 5, 2016",72
437,"Listen To Formation, Look For The Signs",Nadia Reid,"September 16, 2015",72
438,Suuns and Jerusalem in My Heart,Suuns and Jerusalem in My Heart,"April 14, 2015",72
439,At Best Cuckold,Avi Buffalo,"September 9, 2014",72
440,When the Cellar Children See the Light of Day,Mirel Wagner,"August 12, 2014",72
441,Liberation!,Peter Matthew Bauer,"June 16, 2014",72
442,You Have Already Gone To The Other World,A Hawk and a Hacksaw,"April 2, 2013",72
443,A Wonder Working Stone,Alasdair Roberts & Friends,"January 22, 2013",72
444,Blood Speaks,Smoke Fairies,"May 22, 2012",72
445,Grown Unknown,Lia Ices,"January 25, 2011",72
446,The King is Dead,The Decemberists,"January 18, 2011",72
447,Threadbare,Port O'Brien,"October 19, 2009",72
448,At The Cut,Vic Chesnutt,"September 21, 2009",72
449,Upper Air,Bowerbirds,"July 7, 2009",72
450,The Glass Bead Game,James Blackshaw,"May 26, 2009",72
451,Lost Channels,Great Lake Swimmers,"March 31, 2009",72
452,Beasts of Season,Laura Gibson,"February 24, 2009",72
453,Tight Knit,Vetiver,"February 17, 2009",72
454,The Second Gleam EP,The Avett Brothers,"July 22, 2008",72
455,The Avalanche,Sufjan Stevens,"July 11, 2006",72
456,Puzzles Like You,Mojave 3,"June 6, 2006",72
457,Ballad of the Broken Seas,Isobel Campbell & Mark Lanegan,"March 7, 2006",72
458,Comfort of Strangers,Beth Orton,"February 7, 2006",72
459,The Sunset Tree,The Mountain Goats,"April 26, 2005",72
460,Drinking Songs,Matt Elliott,"February 1, 2005",72
461,Digital Ash in a Digital Urn,Bright Eyes,"January 25, 2005",72
462,From a Basement on the Hill,Elliott Smith,"October 19, 2004",72
463,Where Shall You Take Me?,Damien Jurado,"March 18, 2003",72
464,Don't Fall In Love With Everyone You See,Okkervil River,"January 22, 2002",72
465,Every Day and Every Night,Bright Eyes,"November 1, 1999",72
466,When You Walk A Long Distance You Are Tired,Mothers,"February 26, 2016",71
467,Don't Weigh Down the Light,Meg Baird,"June 23, 2015",71
468,Sallows,Anamai,"March 10, 2015",71
469,Palindrome Hunches,Neil Halstead,"September 11, 2012",71
470,There's No Leaving Now,The Tallest Man On Earth,"June 12, 2012",71
471,Obadiah,Frazey Ford,"July 20, 2010",71
472,Dead Man's Bones,Dead Man's Bones,"October 6, 2009",71
473,Magnolia,The Wooden Birds,"May 12, 2009",71
474,Colin Meloy Sings Shirley Collins,Colin Meloy,"January 1, 2006",71
475,Harvest of Dreams,Bobb Trimble,"December 16, 1982",71
476,Stranger in the Alps,Phoebe Bridgers,"September 22, 2017",70
477,I’m a Harmony,Linda Perhacs,"September 22, 2017",70
478,The Following Mountain,Sam Amidon,"May 26, 2017",70
479,Rosewood Almanac,Will Stratton,"May 12, 2017",70
480,Away,Okkervil River,"September 9, 2016",70
481,Ambulance,The Amazing,"July 22, 2016",70
482,Skip a Sinking Stone,Mutual Benefit,"May 20, 2016",70
483,"A Folk Set Apart: Rarities, B",Cass McCombs,"December 11, 2015",70
484,I Don't Want To Let You Down,Sharon Van Etten,"June 9, 2015",70
485,Darling Arithmetic,Villagers,"April 14, 2015",70
486,Past Life,Lost In The Trees,"February 18, 2014",70
487,Harlem River,Kevin Morby,"November 26, 2013",70
488,Man and Myth,Roy Harper,"September 23, 2013",70
489,Sub Verses,Akron/Family,"April 30, 2013",70
490,Junip,Junip,"April 23, 2013",70
491,What The Brothers Sang,Bonnie 'Prince' Billy & Dawn McCarthy,"February 19, 2013",70
492,Child Ballads,Anaïs Mitchell & Jefferson Hamer,"February 11, 2013",70
493,The Sister,Marissa Nadler,"May 29, 2012",70
494,A Monument,Tu Fawning,"May 15, 2012",70
495,Hoyas,S. Carey,"May 8, 2012",70
496,Admiral Fell Promises,Sun Kil Moon,"July 13, 2010",70
497,Heart of My Own,Basia Bulat,"January 26, 2010",70
498,If You Leave It Alone,The Wave Pictures,"May 4, 2009",70
499,Ash Wednesday,Elvis Perkins,"February 20, 2007",70
500,New Roman Times,Camper Van Beethoven,"October 12, 2004",70
501,Field Rexx,Blitzen Trapper,"January 1, 2004",70
502,Veneer,José González,"October 29, 2003",70
503,Clouds,Joni Mitchell,"May 1, 1969",70
504,"By the Way, I Forgive You",Brandi Carlile,"February 16, 2018",69
505,Cowboy Worship,Amen Dunes,"January 20, 2015",69
506,LAST,Little Wings,"February 5, 2013",69
507,Coming Out of the Fog,Arbouretum,"January 22, 2013",69
508,We All Raise Our Voices To The Air (Live Songs 04.11,The Decemberists,"March 13, 2012",69
509,Animal Joy,Shearwater,"February 14, 2012",69
510,Becoming a Jackal,Villagers,"June 8, 2010",69
511,Inter,Peter Wolf Crier,"May 25, 2010",69
512,Hunting My Dress,Jesca Hoop,"November 16, 2009",69
513,Year In The Kingdom,J. Tillman,"September 8, 2009",69
514,Luminous Night,Six Organs of Admittance,"August 18, 2009",69
515,Glory Hope Mountain,The Acorn,"September 25, 2007",69
516,Woke on a Whaleheart,Bill Callahan,"April 24, 2007",69
517,Springtime Can Kill You,Jolie Holland,"May 9, 2006",69
518,La maison de mon rêve,CocoRosie,"March 9, 2004",69
519,Pyramid Electric Co.,Jason Molina,"January 20, 2004",69
520,Want One,Rufus Wainwright,"September 23, 2003",69
521,Figure 8,Elliott Smith,"April 18, 2000",69
522,Iron Curtain Innocence,Bobb Trimble,"January 1, 1980",69
523,Raft,Mike Cooper,"July 7, 2017",68
524,Year of the Rabbit,Eskimeaux,"April 15, 2016",68
525,Skifflin',The Skiffle Players,"February 12, 2016",68
526,The Soul of All Natural Things,Linda Perhacs,"March 4, 2014",68
527,Carrier,The Dodos,"August 27, 2013",68
528,The Beast In Its Tracks,Josh Ritter,"March 5, 2013",68
529,Tempest,Bob Dylan,"September 11, 2012",68
530,Among The Leaves,Sun Kil Moon,"May 29, 2012",68
531,Out of the Game,Rufus Wainwright,"May 1, 2012",68
532,Long Live the King,The Decemberists,"November 1, 2011",68
533,Tripper,Fruit Bats,"August 2, 2011",68
534,Beachcomber's Windowsill,Stornoway,"August 10, 2010",68
535,"Texas Rose, the Thaw, and the Beasts",Castanets,"September 22, 2009",68
536,Orange You Glad,Julian Lynch,"August 1, 2009",68
537,yArDs,tUnE,"March 19, 2009",68
538,Hold Time,M. Ward,"February 17, 2009",68
539,"Alas, I Cannot Swim",Laura Marling,"February 11, 2008",68
540,Invitation Songs,The Cave Singers,"September 25, 2007",68
541,The Trials of Van Occupanther,Midlake,"July 25, 2006",68
542,Mosaic,Wovenhand,"June 16, 2006",68
543,"Sun, Sun, Sun",The Elected,"January 24, 2006",68
544,Mermaid Avenue,Billy Bragg & Wilco,"June 23, 1998",68
545,Peace Trail,Neil Young,"December 9, 2016",67
546,No No No,Beirut,"September 11, 2015",67
547,Dark Bird Is Home,The Tallest Man On Earth,"May 12, 2015",67
548,Black Pudding,Mark Lanegan & Duke Garwood,"May 14, 2013",67
549,Adam Green & Binki Shapiro,Adam Green & Binki Shapiro,"January 29, 2013",67
550,So Beautiful or So What,Paul Simon,"April 12, 2011",67
551,Creep On Creepin' On,Timber Timbre,"April 5, 2011",67
552,See You On The Moon,Tift Merritt,"June 1, 2010",67
553,Wild Go,Dark Dark Dark,"January 5, 2010",67
554,Through the Devil Softly,Hope Sandoval & The Warm Inventions,"September 28, 2009",67
555,Elvis Perkins in Dearland,Elvis Perkins,"March 10, 2009",67
556,Cinder,Dirty Three,"October 11, 2005",67
557,Everyone Is Here,The Finn Brothers,"August 24, 2004",67
558,Tallahassee,The Mountain Goats,"November 5, 2002",67
559,Song to a Seagull,Joni Mitchell,"March 1, 1968",67
560,Together at Last,Jeff Tweedy,"June 23, 2017",66
561,Myths 002,Ariel Pink & Weyes Blood,"January 27, 2017",66
562,Ape in Pink Marble,Devendra Banhart,"September 23, 2016",66
563,Natural Born Losers,Nicole Dollanganger,"October 9, 2015",66
564,Beat the Champ,The Mountain Goats,"April 7, 2015",66
565,Vestiges & Claws,José González,"February 17, 2015",66
566,Field Report,Field Report,"September 11, 2012",66
567,When The Devil's Loose,A.A. Bondy,"September 1, 2009",66
568,Dropping The Writ,Cass McCombs,"January 28, 2008",66
569,Colin Meloy Sings Morrissey,Colin Meloy,"January 1, 2005",66
570,Memory of a Cut Off Head,OCS,"November 17, 2017",65
571,Fatherland,Kele Okereke,"October 6, 2017",65
572,Common As Light and Love Are Red Valleys of Blood,Sun Kil Moon,"February 17, 2017",65
573,Luck Man,Tim Cohen,"January 20, 2017",65
574,Golden Sings That Have Been Sung,Ryley Walker,"August 19, 2016",65
575,EARTH,Neil Young & Promise of the Real,"June 17, 2016",65
576,I Want to See Pulaski at Night,Andrew Bird,"November 12, 2013",65
577,The Carpenter,The Avett Brothers,"September 11, 2012",65
578,No Witch,The Cave Singers,"February 22, 2011",65
579,Strict Joy,The Swell Season,"October 27, 2009",65
580,Monsters of Folk,Monsters of Folk,"September 22, 2009",65
581,Thing of the Past,Vetiver,"May 13, 2008",65
582,The Wake,Scott Kelly,"May 6, 2008",65
583,Colin Meloy Sings Live!,Colin Meloy,"April 8, 2008",65
584,Smokey Rolls Down Thunder Canyon,Devendra Banhart,"September 25, 2007",65
585,"Oh, My Darling",Basia Bulat,"April 30, 2007",65
586,Diamonds On the Inside,Ben Harper,"March 11, 2003",65
587,Sleeping on Roads,Neil Halstead,"January 28, 2002",65
588,Hundred Acres,S. Carey,"February 23, 2018",64
589,Ruins,First Aid Kit,"January 19, 2018",64
590,This Machine Kills Artists,Buzz Osborne,"June 3, 2014",64
591,Out of It and Into It,Tall Firs,"March 12, 2012",64
592,The Errant Charm,Vetiver,"June 14, 2011",64
593,Ukulele Songs,Eddie Vedder,"May 31, 2011",64
594,"Set Em Wild, Set Em Free",Akron/Family,"May 5, 2009",64
595,What Comes After The Blues,Magnolia Electric Co.,"April 5, 2005",64
596,The Cowboy's Prayer,Mutual Benefit,"September 2, 2014",63
597,Making the Saint,Chris Schlarb,"May 27, 2014",63
598,A Letter Home,Neil Young,"April 19, 2014",63
599,Cynic's New Year,Horse Feathers,"April 17, 2012",63
600,A Wasteland Companion,M. Ward,"April 10, 2012",63
601,Virtue,Emmy the Great,"June 13, 2011",63
602,No Ghost,The Acorn,"September 7, 2010",63
603,The Ghost Who Walks,Karen Elson,"May 25, 2010",63
604,Sunday at Devil Dirt,Isobel Campbell & Mark Lanegan,"November 18, 2008",63
605,Fisherman's Woman,Emiliana Torrini,"January 31, 2005",63
606,Sean,Sinéad O'Connor,"October 8, 2002",63
607,Tomorrow Will Be Beautiful,Flo Morrissey,"June 15, 2015",62
608,Primrose Green,Ryley Walker,"March 31, 2015",62
609,Wheel,Laura Stevenson,"April 23, 2013",62
610,Come Back to Us,Release the Sunbird,"July 26, 2011",62
611,Hearts on Hold,Tu Fawning,"October 5, 2010",62
612,Tribute To,Yim Yames,"August 4, 2009",62
613,Easy Tiger,Ryan Adams,"June 26, 2007",62
614,Lost on the River: The New Basement Tapes,The New Basement Tapes,"November 11, 2014",61
615,Rebellion Hymns,Man's Gin,"June 25, 2013",61
616,Ghost on Ghost,Iron & Wine,"April 16, 2013",61
617,Don't Act Like You Don't Care,Luke Temple,"August 16, 2011",61
618,III,Espers,"October 20, 2009",61
619,Strange Angels,Kristin Hersh,"February 3, 1998",61
620,Coming from Reality,Rodriguez,"November 1, 1971",61
621,Go Dig My Grave,Susanna,"February 9, 2018",60
622,Who Me?,Juan Wauters,"May 12, 2015",60
623,Forever So,Husky,"July 10, 2012",60
624,Here,Edward Sharpe & the Magnetic Zeros,"May 29, 2012",60
625,Garden of Arms,Peter Wolf Crier,"September 6, 2011",60
626,Crayon Angel: A Tribute to the Music of Judee Sill,Various Artists,"September 22, 2009",60
627,Acid Tongue,Jenny Lewis,"September 23, 2008",60
628,Cassadaga,Bright Eyes,"April 10, 2007",60
629,Want Two,Rufus Wainwright,"November 16, 2004",60
630,Master and Everyone,Bonnie 'Prince' Billy,"January 28, 2003",60
631,Burn to Shine,Ben Harper & The Innocent Criminals,"September 21, 1999",60
632,More Rain,M. Ward,"March 4, 2016",59
633,Lily,Sam Amidon,"September 29, 2014",59
634,Poor Moon,Poor Moon,"August 28, 2012",59
635,Nightingale,Erland & The Carnival,"March 7, 2011",59
636,Alexander,Alexander,"February 28, 2011",59
637,Four Winds,Bright Eyes,"March 6, 2007",59
638,Fellow Travelers,Shearwater,"November 26, 2013",58
639,Blue Water White Death,Blue Water White Death,"October 12, 2010",58
640,Mind Raft,Deradoorian,"May 5, 2009",58
641,Song of the Pearl,Arbouretum,"March 10, 2009",58
642,Eugene McGuinness,Eugene McGuinness,"October 12, 2008",58
643,War Elephant,Deer Tick,"September 4, 2007",58
644,Between Two Shores,Glen Hansard,"January 19, 2018",57
645,Us Alone,Hayden,"February 5, 2013",57
646,New Wild Everywhere,Great Lake Swimmers,"April 3, 2012",57
647,"Celebration, Florida",The Felice Brothers,"May 10, 2011",57
648,Minor Love,Adam Green,"February 16, 2010",57
649,The Hazards of Love,The Decemberists,"March 24, 2009",57
650,The Historical Conquests of Josh Ritter,Josh Ritter,"August 21, 2007",57
651,Trials & Errors,Magnolia Electric Co.,"January 18, 2005",57
652,Out of Season,Beth Gibbons & Rustin Man,"October 28, 2002",57
653,Hawks & Doves,Neil Young,"November 3, 1980",57
654,"What a Terrible World, What a Beautiful World",The Decemberists,"January 20, 2015",56
655,Favorite Waitress,The Felice Brothers,"June 17, 2014",56
656,it's a big world out there (and i am scared),Kurt Vile,"November 19, 2013",56
657,This Is Another Life,Case Studies,"June 11, 2013",56
658,Lonesome Dreams,Lord Huron,"October 9, 2012",56
659,Song Islands Vol. 2,Mount Eerie,"October 4, 2010",56
660,The Black Dirt Sessions,Deer Tick,"June 8, 2010",56
661,Jet Lag,Josiah Wolf,"March 16, 2010",56
662,{Awayland},Villagers,"January 14, 2013",55
663,The Bloom and the Blight,Two Gallants,"September 4, 2012",55
664,Ideas of Distance,Young Man,"September 27, 2011",55
665,The Felice Brothers,The Felice Brothers,"March 4, 2008",55
666,Autumn Fallin',Jaymay,"November 12, 2007",55
667,Ongiara,Great Lake Swimmers,"March 27, 2007",55
668,A Forest of Arms,Great Lake Swimmers,"April 21, 2015",54
669,Seth Avett & Jessica Lea Mayfield Sing Elliott Smith,Seth Avett & Jessica Lea Mayfield,"March 17, 2015",54
670,Radlands,Mystery Jets,"April 30, 2012",54
671,American Goldwing,Blitzen Trapper,"September 13, 2011",54
672,Catching a Tiger,Lissie,"August 17, 2010",54
673,Feast of the Hunters' Moon,Black Prairie,"April 6, 2010",54
674,Together Through Life,Bob Dylan,"April 28, 2009",54
675,O,Damien Rice,"February 1, 2002",54
676,Fevers and Mirrors,Bright Eyes,"May 29, 2000",54
677,Marigolden,Field Report,"October 7, 2014",53
678,Tidelands,The Moondoggies,"October 12, 2010",53
679,Born on Flag Day,Deer Tick,"June 23, 2009",53
680,Sing Into My Mouth,Iron and Wine & Ben Bridwell,"July 17, 2015",52
681,The Monsanto Years,Neil Young & Promise of the Real,"June 29, 2015",52
682,Jones,Bill Ryder,"April 8, 2013",52
683,The First Days Of Spring,Noah and The Whale,"October 6, 2009",52
684,The Time of the Assassins,Nickel Eye,"January 27, 2009",52
685,Forfeit / Fortune,Crooked Fingers,"October 7, 2008",52
686,Changing of the Seasons,Ane Brun,"March 12, 2008",52
687,Super Taranta!,Gogol Bordello,"July 10, 2007",52
688,Quiet Is the New Loud,Kings of Convenience,"March 6, 2001",52
689,Illusion,Poor Moon,"March 27, 2012",51
690,Let Me Come Home,Broken Records,"January 11, 2011",51
691,Molina & Johnson,Molina & Johnson,"November 3, 2009",51
692,Welcome Joy,The Cave Singers,"August 18, 2009",51
693,Solace in Sore Hands,Amandine,"April 16, 2007",51
694,Surprise,Paul Simon,"May 9, 2006",51
695,Heart of Nowhere,Noah and The Whale,"May 6, 2013",50
696,Last Night on Earth,Noah and The Whale,"March 15, 2011",50
697,The People's Key,Bright Eyes,"February 15, 2011",50
698,Ghost,Radical Face,"March 20, 2007",50
699,Passerby,Luluc,"July 15, 2014",49
700,Tales From Terra Firma,Stornoway,"March 11, 2013",49
701,The Gathering,Arbouretum,"February 15, 2011",49
702,Until the Earth Begins to Part,Broken Records,"July 7, 2009",49
703,Outer South,Conor Oberst,"May 5, 2009",49
704,Shelter From The Ash,Six Organs of Admittance,"November 20, 2007",49
705,Smart Flesh,The Low Anthem,"February 22, 2011",48
706,What the Toll Tells,Two Gallants,"February 13, 2006",48
707,How I Loved You,Angels of Light,"March 20, 2001",48
708,Break Up,Pete Yorn & Scarlett Johansson,"September 8, 2009",47
709,Saltbreakers,Laura Veirs,"March 27, 2007",47
710,Edward Sharpe & the Magnetic Zeros,Edward Sharpe & the Magnetic Zeros,"July 23, 2013",45
711,Astral Weeks Live at the Hollywood Bowl,Van Morrison,"February 9, 2009",45
712,Moenie and Kitchi,Gregory & The Hawk,"October 7, 2008",44
713,Up From Below,Edward Sharpe & the Magnetic Zeros,"July 14, 2009",41
714,"Broken Hymns, Limbs and Skin",O'Death,"August 22, 2008",41
715,Last of the Country Gentlemen,Josh T. Pearson,"March 29, 2011",40
716,What Will We Be,Devendra Banhart,"October 27, 2009",40
717,Divine Providence,Deer Tick,"October 25, 2011",39
718,All Days Are Nights: Songs For Lulu,Rufus Wainwright,"April 20, 2010",39
719,True Sadness,The Avett Brothers,"June 24, 2016",38
720,The Head and The Heart,The Head and The Heart,"April 19, 2011",38
721,Subtítulo,Josh Rouse,"March 21, 2006",37
722,Noah's Ark,CocoRosie,"September 13, 2005",34
723,If the Ocean Gets Rough,Willy Mason,"March 5, 2007",31
724,Tiny Cities,Sun Kil Moon,"November 1, 2005",30
725,"Peaceful, the World Lays Me Down",Noah and The Whale,"September 16, 2008",26
726,The Adventures of Ghosthorse and Stillborn,CocoRosie,"April 10, 2007",23
727,Sigh No More,Mumford & Sons,"February 16, 2010",21
728,9,Damien Rice,"November 3, 2006",19
729,Pullhair Rubeye,Avey Tare & Kría Brekkan,"April 24, 2007",10
